Reference, Quantity, Value, Footprint, Datasheet, PN, Price, SolderPoints, SolderPointsDIP, Color
C1 ,1,"10u","Capacitors:CAP_0603","","","0.5","2","",""
C10 C11 ,2,"18pF","Capacitors:CAP_0603","","","0.5","2","",""
C13 ,1,"10n","Capacitors:CAP_0603","","","0.5","2","",""
C3 C4 C5 C6 C7 C12 ,6,"0.1u","Capacitors:CAP_0603","","","0.5","2","",""
C8 C9 ,2,"1u","Capacitors:CAP_0603","","","0.5","2","",""
D1 D2 D3 ,3,"LED","LEDs:LED_0603","","","4","2","","Green"
D4 ,1,"PMEG2020","Diodes:SOD323","","","5","2","",""
DA1 ,1,"LD1117","SOT:SOT223",""
DD1 ,1,"STM32F103CB","LQFP_TQFP:LQFP48","","STM32F103CBT6","209","48","",""
HOLE5 ,1,"HOLE_METALLED","PCB:Hole3_5_out6mm","","","0","0","",""
L1 L2 ,2,"BLM15AG102","Inductors:IND_0402","","","4","2","",""
Logo1 ,1,"Logo","Pictures:Ostranna_12d7_10d1",""
Q1 Q2 ,2,"BC848","SOT:SOT23-3","","","","3","",""
Q3 ,1,"IRLML9303","SOT:SOT23-3","","","","3","",""
R1 R7 ,2,"100R","Resistors:RES_0603","","","0.5","2","",""
R10 R11 R15 R16 ,4,"1k","Resistors:RES_0603","","","0.5","2","",""
R14 R3 ,2,"100k","Resistors:RES_0603","","","0.5","2","",""
R18 R20 R19 R21 ,4,"22R","Resistors:RES_0603","","","0.5","2","",""
R23 ,1,"1M","Resistors:RES_0603","","","0.5","2","",""
R4 ,1,"1k5","Resistors:RES_0603","","","0.5","2","",""
R6 ,1,"30k","Resistors:RES_0603","","","0.5","2","",""
R9 R22 R5 R2 R12 R13 R8 R17 ,8,"10k","Resistors:RES_0603","","","0.5","2","",""
SW1 ,1,"BUTTON","BtnsSwitches:BTN_4x4_SMD","","","1","4","",""
XL1 ,1,"USB_MINI_B","Connectors:USBmicro_MOLEX_WM17142",""
XL2 ,1,"CONN_4","Connectors:PLS-4","","","","0","4",""
XL3 ,1,"CONN_6","Connectors:PBS-6R-MIRR","","","","0","6",""
XL4 ,1,"CONN_2","Connectors:PBS-2R-MIRR",""
XTAL1 ,1,"8MHz","Quartz:0503x4-4","","","15","4","",""
